headingOne,collapseOne,when you're sad and melancholic,mp3/tokyo.mp3,tokyo by rm,always by rm,life by kim namjoon,uhgood by rm,scenery by tae,tonight by jin,voice by rm,adrift by joon
headingTwo,collapseTwo,when you're excited and ready to dance,mp3/ma city.mp3,airplane pt.2 by bts,idol by bts,just dance by jhope,throw away by runch randa,dna by bts,dionysus by bts,attack on bangtan by bangtan,ma city by bts
headingThree,collapseThree,when you want to sing along,mp3/Trivia Love.mp3,i'm fine by bts,boy with luv by bts ft halsey,paradise by bts,trivia: love by rm,2! 3! by bts,"dimple by jin, jimin, tae, jk",outro: propose by bts,blanket kick by bts,for you by bts
headingFour,collapseFour,when you're at the beach,mp3/serendipity.mp3,serendipity by jimin,love maze by bts,lights by bts,euphoria by jk,promise by jimin,moonchild by rm,run by bts,i need u by bts,go go by bts
headingFive,collapseFive,when you're doing chores,mp3/ddaeng.mp3,outro: her by rapline,tear by bts,into: persona by rm,epiphany by jin,ddaeng bt rapline,winter bear by v,road/path by bts,seoul by rm
headingSix,collapseSix,when you're at a pool party,mp3/blue side.mp3,anpanman by bts,so what by bts,pied piper by bts,boyz with fun by bts,blue side by hobi,home by bts,make it right by bts
headingSeven,collapseSeven,"when you're reading, writing or studying",mp3/seesaw.mp3,trivia: seesaw by suga,reflection by joon,butterfly by bts,134340 by bts,hold me tight by bts prod tae,airplane by jhope,4 o'clock by r&v,"so far away by suga, jin, jk",song request by leesora ft. suga
headingEight,collapseEight,when there's a storm outside and you're in bed,mp3/mikro.mp3,forever rain by namjoon,spring day by bts,singularity by v,magic shop by bts,"jamais vu by jk, hobi, jin",mikrokosmos by bts,rain by bts,breathe by jungkook
